Segment,Country, Product , Discount Band ,Units Sold,Manufacturing Price,Sale Price,Date
Government,Germany, VTT , Low ,2877,£250.00,£350.00,01/10/2014
Enterprise,Canada, VTT , Low ,2729,£250.00,£125.00,01/12/2014
Government,United States of America, VTT , Low ,266,£250.00,£350.00,01/12/2013
Government,Mexico, VTT , Low ,1940,£250.00,£350.00,01/12/2013
Small Business,Germany, Amarilla , Low ,259,£260.00,£300.00,01/03/2014
Small Business,Mexico, Amarilla , Low ,1101,£260.00,£300.00,01/03/2014
Enterprise,Germany, Amarilla , Low ,2276,£260.00,£125.00,01/05/2014
Government,Germany, Amarilla , Low ,2966,£260.00,£350.00,01/10/2013
Government,United States of America, Amarilla , Low ,1236,£260.00,£20.00,01/11/2014
Government,France, Amarilla , Low ,941,£260.00,£20.00,01/11/2014
Small Business,Canada, Amarilla , Low ,1916,£260.00,£300.00,01/12/2014
Enterprise,France, Carretera , Low ,4243 .5,£3.00,£125.00,01/04/2014
Government,Germany, Carretera , Low ,2580,£3.00,£20.00,01/04/2014
Small Business,Germany, Carretera , Low ,689,£3.00,£300.00,01/06/2014
Channel Partners,United States of America, Carretera , Low ,1947,£3.00,£12.00,01/09/2014
Channel Partners,Canada, Carretera , Low ,908,£3.00,£12.00,01/12/2013
Government,Germany, Montana , Low ,1958,£5.00,£7.00,01/02/2014
Channel Partners,France, Montana , Low ,1901,£5.00,£12.00,01/06/2014
Government,France, Montana , Low ,544,£5.00,£7.00,01/09/2014
Government,Germany, Montana , Low ,1797,£5.00,£350.00,01/09/2013
Enterprise,France, Montana , Low ,1287,£5.00,£125.00,01/12/2014
Enterprise,Germany, Montana , Low ,1706,£5.00,£125.00,01/12/2014
Small Business,France, Paseo , Low ,2434.5,£10.00,£300.00,01/01/2014
Enterprise,Canada, Paseo , Low ,1774,£10.00,£125.00,01/03/2014
Channel Partners,France, Paseo , Low ,1901,£10.00,£12.00,01/06/2014
Small Business,Germany, Paseo , Low ,689,£10.00,£300.00,01/06/2014
Enterprise,Germany, Paseo , Low ,1570,£10.00,£125.00,01/06/2014
Channel Partners,United States of America, Paseo , Low ,1369.5,£10.00,£12.00,01/07/2014
Enterprise,Canada, Paseo , Low ,2009,£10.00,£125.00,01/10/2014
Midmarket,Germany, Paseo , Low ,1945,£10.00,£15.00,01/10/2013
Enterprise,France, Paseo , Low ,1287,£10.00,£125.00,01/12/2014
Enterprise,Germany, Paseo , Low ,1706,£10.00,£125.00,01/12/2014
Enterprise,Canada, Velo , Low ,2009,£120.00,£125.00,01/10/2014
Small Business,United States of America, VTT , Low ,2844,£250.00,£300.00,01/02/2014
Channel Partners,Mexico, VTT , Low ,1916,£250.00,£12.00,01/04/2014
Enterprise,Germany, VTT , Low ,1570,£250.00,£125.00,01/06/2014
Small Business,Canada, VTT , Low ,1874,£250.00,£300.00,01/08/2014
Government,Mexico, VTT , Low ,1642,£250.00,£350.00,01/08/2014
Midmarket,Germany, VTT , Low ,1945,£250.00,£15.00,01/10/2013
Government,Canada, Carretera , Low ,831,£3.00,£20.00,01/05/2014
Government,Mexico, Paseo , Low ,1760,£10.00,£7.00,01/09/2013
Government,Canada, Velo , Low ,3850.5,£120.00,£20.00,01/04/2014
Channel Partners,Germany, VTT , Low ,2479,£250.00,£12.00,01/01/2014
Midmarket,Mexico, Montana , Low ,2031,£5.00,£15.00,01/10/2014
Midmarket,Mexico, Paseo , Low ,2031,£10.00,£15.00,01/10/2014
Midmarket,France, Paseo , Low ,2261,£10.00,£15.00,01/12/2013
Government,United States of America, Velo , Low ,736,£120.00,£20.00,01/09/2013
Government,Canada, Carretera , Low ,2851,£3.00,£7.00,01/10/2013
Small Business,Germany, Carretera , Low ,2021,£3.00,£300.00,01/10/2014
Government,United States of America, Carretera , Low ,274,£3.00,£350.00,01/12/2014
Midmarket,Canada, Montana , Low ,1967,£5.00,£15.00,01/03/2014
Small Business,Germany, Montana , Low ,1859,£5.00,£300.00,01/08/2014
Government,Canada, Montana , Low ,2851,£5.00,£7.00,01/10/2013
Small Business,Germany, Montana , Low ,2021,£5.00,£300.00,01/10/2014
Enterprise,Mexico, Montana , Low ,1138,£5.00,£125.00,01/12/2014
Government,Canada, Paseo , Low ,4251,£10.00,£7.00,01/01/2014
Enterprise,Germany, Paseo , Low ,795,£10.00,£125.00,01/03/2014
Small Business,Germany, Paseo , Low ,1414.5,£10.00,£300.00,01/04/2014
Small Business,United States of America, Paseo , Low ,2918,£10.00,£300.00,01/05/2014
Government,United States of America, Paseo , Low ,3450,£10.00,£350.00,01/07/2014
Enterprise,France, Paseo , Low ,2988,£10.00,£125.00,01/07/2014
Midmarket,Canada, Paseo , Low ,218,£10.00,£15.00,01/09/2014
Government,Canada, Paseo , Low ,2074,£10.00,£20.00,01/09/2014
Government,United States of America, Paseo , Low ,1056,£10.00,£20.00,01/09/2014
Midmarket,United States of America, Paseo , Low ,671,£10.00,£15.00,01/10/2013
Midmarket,Mexico, Paseo , Low ,1514,£10.00,£15.00,01/10/2013
Government,United States of America, Paseo , Low ,274,£10.00,£350.00,01/12/2014
Enterprise,Mexico, Paseo , Low ,1138,£10.00,£125.00,01/12/2014
Channel Partners,United States of America, Velo , Low ,1465,£120.00,£12.00,01/03/2014
Government,Canada, Velo , Low ,2646,£120.00,£20.00,01/09/2013
Government,France, Velo , Low ,2177,£120.00,£350.00,01/10/2014
Channel Partners,France, VTT , Low ,866,£250.00,£12.00,01/05/2014
Government,United States of America, VTT , Low ,349,£250.00,£350.00,01/09/2013
Government,France, VTT , Low ,2177,£250.00,£350.00,01/10/2014
Midmarket,Mexico, VTT , Low ,1514,£250.00,£15.00,01/10/2013
Government,Mexico, Amarilla , Low ,1865,£260.00,£350.00,01/02/2014
Enterprise,Mexico, Amarilla , Low ,1074,£260.00,£125.00,01/04/2014
Government,Germany, Amarilla , Low ,1907,£260.00,£350.00,01/09/2014
Midmarket,United States of America, Amarilla , Low ,671,£260.00,£15.00,01/10/2013
Government,Canada, Amarilla , Low ,1778,£260.00,£350.00,01/12/2013
Government,Germany, Montana , Medium ,1159,£5.00,£7.00,01/10/2013
Government,Germany, Paseo , Medium ,1372,£10.00,£7.00,01/01/2014
Government,Canada, Paseo , Medium ,2349,£10.00,£7.00,01/09/2013
Government,Mexico, Paseo , Medium ,2689,£10.00,£7.00,01/10/2014
Channel Partners,Canada, Paseo , Medium ,2431,£10.00,£12.00,01/12/2014
Channel Partners,Canada, Velo , Medium ,2431,£120.00,£12.00,01/12/2014
Government,Mexico, VTT , Medium ,2689,£250.00,£7.00,01/10/2014
Government,Mexico, Amarilla , Medium ,1683,£260.00,£7.00,01/07/2014
Channel Partners,Mexico, Amarilla , Medium ,1123,£260.00,£12.00,01/08/2014
Government,Germany, Amarilla , Medium ,1159,£260.00,£7.00,01/10/2013
Channel Partners,France, Carretera , Medium ,1865,£3.00,£12.00,01/02/2014
Channel Partners,Germany, Carretera , Medium ,1116,£3.00,£12.00,01/02/2014
Government,France, Carretera , Medium ,1563,£3.00,£20.00,01/05/2014
Small Business,United States of America, Carretera , Medium ,991,£3.00,£300.00,01/06/2014
Government,Germany, Carretera , Medium ,1016,£3.00,£7.00,01/11/2013
Midmarket,Mexico, Carretera , Medium ,2791,£3.00,£15.00,01/11/2014
Government,United States of America, Carretera , Medium ,570,£3.00,£7.00,01/12/2014
Government,France, Carretera , Medium ,2487,£3.00,£7.00,01/12/2014
Government,France, Montana , Medium ,1384.5,£5.00,£350.00,01/01/2014
Enterprise,United States of America, Montana , Medium ,3627,£5.00,£125.00,01/07/2014
Government,Mexico, Montana , Medium ,720,£5.00,£350.00,01/09/2013
Channel Partners,Germany, Montana , Medium ,2342,£5.00,£12.00,01/11/2014
Small Business,Mexico, Montana , Medium ,1100,£5.00,£300.00,01/12/2013
Government,France, Paseo , Medium ,1303,£10.00,£20.00,01/02/2014
Enterprise,United States of America, Paseo , Medium ,2992,£10.00,£125.00,01/03/2014
Enterprise,France, Paseo , Medium ,2385,£10.00,£125.00,01/03/2014
Small Business,Mexico, Paseo , Medium ,1607,£10.00,£300.00,01/04/2014
Government,United States of America, Paseo , Medium ,2327,£10.00,£7.00,01/05/2014
Small Business,United States of America, Paseo , Medium ,991,£10.00,£300.00,01/06/2014
Government,United States of America, Paseo , Medium ,602,£10.00,£350.00,01/06/2014
Midmarket,France, Paseo , Medium ,2620,£10.00,£15.00,01/09/2014
Government,Canada, Paseo , Medium ,1228,£10.00,£350.00,01/10/2013
Government,Canada, Paseo , Medium ,1389,£10.00,£20.00,01/10/2013
Enterprise,United States of America, Paseo , Medium ,861,£10.00,£125.00,01/10/2014
Enterprise,France, Paseo , Medium ,704,£10.00,£125.00,01/10/2013
Government,Canada, Paseo , Medium ,1802,£10.00,£20.00,01/12/2013
Government,United States of America, Paseo , Medium ,2663,£10.00,£20.00,01/12/2014
Government,France, Paseo , Medium ,2136,£10.00,£7.00,01/12/2013
Midmarket,Germany, Paseo , Medium ,2116,£10.00,£15.00,01/12/2013
Midmarket,United States of America, Velo , Medium ,555,£120.00,£15.00,01/01/2014
Midmarket,Mexico, Velo , Medium ,2861,£120.00,£15.00,01/01/2014
Enterprise,Germany, Velo , Medium ,807,£120.00,£125.00,01/02/2014
Government,United States of America, Velo , Medium ,602,£120.00,£350.00,01/06/2014
Government,United States of America, Velo , Medium ,2832,£120.00,£20.00,01/08/2014
Government,France, Velo , Medium ,1579,£120.00,£20.00,01/08/2014
Enterprise,United States of America, Velo , Medium ,861,£120.00,£125.00,01/10/2014
Enterprise,France, Velo , Medium ,704,£120.00,£125.00,01/10/2013
Government,France, Velo , Medium ,1033,£120.00,£20.00,01/12/2013
Small Business,Germany, Velo , Medium ,1250,£120.00,£300.00,01/12/2014
Government,Canada, VTT , Medium ,1389,£250.00,£20.00,01/10/2013
Government,United States of America, VTT , Medium ,1265,£250.00,£20.00,01/11/2013
Government,Germany, VTT , Medium ,2297,£250.00,£20.00,01/11/2013
Government,United States of America, VTT , Medium ,2663,£250.00,£20.00,01/12/2014
Government,United States of America, VTT , Medium ,570,£250.00,£7.00,01/12/2014
Government,France, VTT , Medium ,2487,£250.00,£7.00,01/12/2014
Government,Germany, Amarilla , Medium ,1350,£260.00,£350.00,01/02/2014
Government,Canada, Amarilla , Medium ,552,£260.00,£350.00,01/08/2014
Government,Canada, Amarilla , Medium ,1228,£260.00,£350.00,01/10/2013
Small Business,Germany, Amarilla , Medium ,1250,£260.00,£300.00,01/12/2014
Midmarket,France, Paseo , Medium ,3801,£10.00,£15.00,01/04/2014
Government,United States of America, Carretera , Medium ,1117.5,£3.00,£20.00,01/01/2014
Midmarket,Canada, Carretera , Medium ,2844,£3.00,£15.00,01/06/2014
Channel Partners,Mexico, Carretera , Medium ,562,£3.00,£12.00,01/09/2014
Channel Partners,Canada, Carretera , Medium ,2299,£3.00,£12.00,01/10/2013
Midmarket,United States of America, Carretera , Medium ,2030,£3.00,£15.00,01/11/2014
Government,United States of America, Carretera , Medium ,263,£3.00,£7.00,01/11/2013
Enterprise,Germany, Carretera , Medium ,887,£3.00,£125.00,01/12/2013
Government,Mexico, Montana , Medium ,980,£5.00,£350.00,01/04/2014
Government,Germany, Montana , Medium ,1460,£5.00,£350.00,01/05/2014
Government,France, Montana , Medium ,1403,£5.00,£7.00,01/10/2013
Channel Partners,United States of America, Montana , Medium ,2723,£5.00,£12.00,01/11/2014
Government,France, Paseo , Medium ,1496,£10.00,£350.00,01/06/2014
Channel Partners,Canada, Paseo , Medium ,2299,£10.00,£12.00,01/10/2013
Government,United States of America, Paseo , Medium ,727,£10.00,£350.00,01/10/2013
Enterprise,Canada, Velo , Medium ,952,£120.00,£125.00,01/02/2014
Enterprise,United States of America, Velo , Medium ,2755,£120.00,£125.00,01/02/2014
Midmarket,Germany, Velo , Medium ,1530,£120.00,£15.00,01/05/2014
Government,France, Velo , Medium ,1496,£120.00,£350.00,01/06/2014
Government,Mexico, Velo , Medium ,1498,£120.00,£7.00,01/06/2014
Small Business,France, Velo , Medium ,1221,£120.00,£300.00,01/10/2013
Government,France, Velo , Medium ,2076,£120.00,£350.00,01/10/2013
Midmarket,Canada, VTT , Medium ,2844,£250.00,£15.00,01/06/2014
Government,Mexico, VTT , Medium ,1498,£250.00,£7.00,01/06/2014
Small Business,France, VTT , Medium ,1221,£250.00,£300.00,01/10/2013
Government,Mexico, VTT , Medium ,1123,£250.00,£20.00,01/11/2013
Small Business,Canada, VTT , Medium ,2436,£250.00,£300.00,01/12/2013
Enterprise,France, Amarilla , Medium ,1987.5,£260.00,£125.00,01/01/2014
Government,Mexico, Amarilla , Medium ,1679,£260.00,£350.00,01/09/2014
Government,United States of America, Amarilla , Medium ,727,£260.00,£350.00,01/10/2013
Government,France, Amarilla , Medium ,1403,£260.00,£7.00,01/10/2013
Government,France, Amarilla , Medium ,2076,£260.00,£350.00,01/10/2013
Government,France, Montana , Medium ,1757,£5.00,£20.00,01/10/2013
Midmarket,United States of America, Paseo , Medium ,2198,£10.00,£15.00,01/08/2014
Midmarket,Germany, Paseo , Medium ,1743,£10.00,£15.00,01/08/2014
Midmarket,United States of America, Paseo , Medium ,1153,£10.00,£15.00,01/10/2014
Government,France, Paseo , Medium ,1757,£10.00,£20.00,01/10/2013
Government,Germany, Velo , Medium ,1001,£120.00,£20.00,01/08/2014
Government,Mexico, Velo , Medium ,1333,£120.00,£7.00,01/11/2014
Midmarket,United States of America, VTT , Medium ,1153,£250.00,£15.00,01/10/2014
Channel Partners,Mexico, Carretera , Medium ,727,£3.00,£12.00,01/02/2014
Channel Partners,Canada, Carretera , Medium ,1884,£3.00,£12.00,01/08/2014
Government,Mexico, Carretera , Medium ,1834,£3.00,£20.00,01/09/2013
Channel Partners,Mexico, Montana , Medium ,2340,£5.00,£12.00,01/01/2014
Channel Partners,France, Montana , Medium ,2342,£5.00,£12.00,01/11/2014
Government,France, Paseo , Medium ,1031,£10.00,£7.00,01/09/2013
Midmarket,Canada, Velo , Medium ,1262,£120.00,£15.00,01/05/2014
Government,Canada, Velo , Medium ,1135,£120.00,£7.00,01/06/2014
Government,United States of America, Velo , Medium ,547,£120.00,£7.00,01/11/2014
Government,Canada, Velo , Medium ,1582,£120.00,£7.00,01/12/2014
Channel Partners,France, VTT , Medium ,1738.5,£250.00,£12.00,01/04/2014
Channel Partners,Germany, VTT , Medium ,2215,£250.00,£12.00,01/09/2013
Government,Canada, VTT , Medium ,1582,£250.00,£7.00,01/12/2014
Government,Canada, Amarilla , Medium ,1135,£260.00,£7.00,01/06/2014
Government,United States of America, Carretera , Medium ,1761,£3.00,£350.00,01/03/2014
Small Business,France, Carretera , Medium ,448,£3.00,£300.00,01/06/2014
Small Business,France, Carretera , Medium ,2181,£3.00,£300.00,01/10/2014
Government,France, Montana , Medium ,1976,£5.00,£20.00,01/10/2014
Small Business,France, Montana , Medium ,2181,£5.00,£300.00,01/10/2014
Enterprise,Germany, Montana , Medium ,2500,£5.00,£125.00,01/11/2013
Small Business,Canada, Paseo , Medium ,1702,£10.00,£300.00,01/05/2014
Small Business,France, Paseo , Medium ,448,£10.00,£300.00,01/06/2014
Enterprise,Germany, Paseo , Medium ,3513,£10.00,£125.00,01/07/2014
Midmarket,France, Paseo , Medium ,2101,£10.00,£15.00,01/08/2014
Midmarket,United States of America, Paseo , Medium ,2931,£10.00,£15.00,01/09/2013
Government,France, Paseo , Medium ,1535,£10.00,£20.00,01/09/2014
Small Business,Germany, Paseo , Medium ,1123,£10.00,£300.00,01/09/2013
Small Business,Canada, Paseo , Medium ,1404,£10.00,£300.00,01/11/2013
Channel Partners,Mexico, Paseo , Medium ,2763,£10.00,£12.00,01/11/2013
Government,Germany, Paseo , Medium ,2125,£10.00,£7.00,01/12/2013
Small Business,France, Velo , Medium ,1659,£120.00,£300.00,01/07/2014
Government,Mexico, Velo , Medium ,609,£120.00,£20.00,01/08/2014
Enterprise,Germany, Velo , Medium ,2087,£120.00,£125.00,01/09/2014
Government,France, Velo , Medium ,1976,£120.00,£20.00,01/10/2014
Government,United States of America, Velo , Medium ,1421,£120.00,£20.00,01/12/2013
Small Business,United States of America, Velo , Medium ,1372,£120.00,£300.00,01/12/2014
Government,Germany, Velo , Medium ,588,£120.00,£20.00,01/12/2013
Channel Partners,Canada, VTT , Medium ,3244.5,£250.00,£12.00,01/01/2014
Small Business,France, VTT , Medium ,959,£250.00,£300.00,01/02/2014
Small Business,Mexico, VTT , Medium ,2747,£250.00,£300.00,01/02/2014
Enterprise,Canada, Amarilla , Medium ,1645,£260.00,£125.00,01/05/2014
Government,France, Amarilla , Medium ,2876,£260.00,£350.00,01/09/2014
Enterprise,Germany, Amarilla , Medium ,994,£260.00,£125.00,01/09/2013
Government,Canada, Amarilla , Medium ,1118,£260.00,£20.00,01/11/2014
Small Business,United States of America, Amarilla , Medium ,1372,£260.00,£300.00,01/12/2014
Government,Canada, Montana , Medium ,488,£5.00,£7.00,01/02/2014
Government,United States of America, Montana , Medium ,1282,£5.00,£20.00,01/06/2014
Government,Canada, Paseo , Medium ,257,£10.00,£7.00,01/05/2014
Government,United States of America, Amarilla , Medium ,1282,£260.00,£20.00,01/06/2014
Enterprise,Mexico, Carretera , Medium ,1540,£3.00,£125.00,01/08/2014
Midmarket,France, Carretera , Medium ,490,£3.00,£15.00,01/11/2014
Government,Mexico, Carretera , Medium ,1362,£3.00,£350.00,01/12/2014
Midmarket,France, Montana , Medium ,2501,£5.00,£15.00,01/03/2014
Government,Canada, Montana , Medium ,708,£5.00,£20.00,01/06/2014
Government,Germany, Montana , Medium ,645,£5.00,£20.00,01/07/2014
Small Business,France, Montana , Medium ,1562,£5.00,£300.00,01/08/2014
Small Business,Canada, Montana , Medium ,1283,£5.00,£300.00,01/09/2013
Midmarket,Germany, Montana , Medium ,711,£5.00,£15.00,01/12/2014
Enterprise,Mexico, Paseo , Medium ,1114,£10.00,£125.00,01/03/2014
